ID,MainActivityType,InstallationOrAircraftOperatorID,InstallationNameOrAircraftOperatorCode,LatestComplianceCode,MainActivityTypeCode,PermitOrPlanID,AccountHolderName,PermitOrPlanDate,NationalAdministratorCode,NationalAdministrator,AMOwnershipFirstYear,AMOwnershipLastYear,FirstYearOfEmissions,LastYearOfEmissions,Address1,ZipCode,City,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,Latitude,Longitude,Link
BE11,Production of pig iron or steel,11,ArcelorMittal Gent,A,24,VL201,ArcelorMittal Belgium,2005-04-01,BE,Belgium,,,2005,2012,John Kennedylaan 51,9042,Gent,5238916,4686947,4556264,3415187,4386583,4017146,3777669,,,,,,,,,,,,,,,,,,,51.1836104,3.8313483,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=94048&action=all&languageCode=en&registryCode=BE
BE105,Production or processing of ferrous metals,105,Eurogal,A,25,WAI150P046,ArcelorMittal Belgium,2005-04-01,BE,Belgium,,,2005,,Chaussée de Ramioul 50,4400,Ivoz Ramet,28348,26095,23765,19263,21822,23321,20950,23080,24091,27799,27717,27974,28978,26754,24295,27378,,,,,,,,,,50.5849529,5.4374918,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=94172&action=all&languageCode=en&registryCode=BE
BE106,Production or processing of ferrous metals,106,Ferbatil (API),A,25,WAI146P042,LIBERTY LIEGE - DUDELANGE (BE),2005-04-01,BE,Belgium,,2018,2005,,"rue des Martyrs, 143",4420,Tilleur,13152,12153,8518,9550,10479,8719,10981,13677,13740,38030,40672,38644,37780,,,,,,,,,,,,,50.6164586,5.5315613,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=94173&action=all&languageCode=en&registryCode=BE
BE107,Production or processing of ferrous metals,107,Ramet - Galvanisation,A,25,WAI148P044,ArcelorMittal Belgium,2005-04-01,BE,Belgium,,,2005,2017,rue Sompré,4400,Ivoz Ramet,10940,10472,10755,8373,11441,10433,10333,10504,11591,10926,12174,,,,,,,,,,,,,,,50.5860208,5.4470021,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=94174&action=all&languageCode=en&registryCode=BE
BE108,Production or processing of ferrous metals,108,Kessales,A,25,WAI147P041,ArcelorMittal Belgium,2005-04-01,BE,Belgium,,,2005,,rue Gustave Baivy,4101,Jemeppe-sur-Meuse,24453,26469,27209,21965,27201,28589,21169,25130,26432,24934,24705,31064,32031,27387,24445,27820,,,,,,,,,,50.6126867,5.4974708,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=94175&action=all&languageCode=en&registryCode=BE
BE109,Production or processing of ferrous metals,109,ARCELORMITTAL - site de Ramet - IVOZ-RAMET,A,25,WAI149P045,ArcelorMittal Belgium,2005-04-01,BE,Belgium,,,2005,,rue Sompré,4400,Ivoz Ramet,26957,20182,21839,13568,19331,15741,7395,12535,11503,12256,12810,30412,30290,30560,30409,33469,,,,,,,,,,50.5860208,5.4470021,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=94176&action=all&languageCode=en&registryCode=BE
BE110,Production of pig iron or steel,110,ArcelorMittal Liège Upstream Aciérie LD+CC Chertal,A,24,WAI007P064,ArcelorMittal Belgium,2005-04-01,BE,Belgium,,,2005,2012,Pont de Wandre,4683,Vivegnis,256117,286345,342233,61563,161045,157159,3170,,,,,,,,,,,,,,,,,,,50.6742315,5.6432623,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=94177&action=all&languageCode=en&registryCode=BE
BE111,Production of pig iron or steel,111,ArcelorMittal Liège Upstream Agglomération Seraing,A,24,WAI013P035,ArcelorMittal Belgium,2005-04-01,BE,Belgium,,,2005,2012,Place des hauts-Fourneaux,4102,Ougrée,577765,720506,736849,90713,395569,320237,0,,,,,,,,,,,,,,,,,,,50.6039503,5.5422622,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=94178&action=all&languageCode=en&registryCode=BE
BE112,Combustion of fuels,112,ArcelorMittal Liège Upstream Energie Ougrée,A,20,WAI010P038,ArcelorMittal Belgium,2005-04-01,BE,Belgium,,,2005,2015,Place des Hauts-Fourneaux,4102,Ougrée,537927,521301,562203,186920,422486,360501,79392,13534,,,,,,,,,,,,,,,,,,50.6039503,5.5422622,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=94179&action=all&languageCode=en&registryCode=BE
BE113,Combustion of fuels,113,ArcelorMittal Liège Upstream Energie Seraing,A,20,WAI012P039,ArcelorMittal Belgium,2005-04-01,BE,Belgium,,,2005,2015,Rue Ferrer et Rue de la Vieille Espérance,4100,Seraing,735901,847936,1279867,275462,402647,400023,24216,22300,45946,2720,,,,,,,,,,,,,,,,50.603147,5.5044998,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=94180&action=all&languageCode=en&registryCode=BE
